"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.738495083E0,-1.126179582E-1,3.142827250E-2,-7.071213305E-2
1.748438083E0,-1.158682792E-1,6.133941181E-2,-9.908925533E-2
1.758381083E0,-1.055374186E-1,6.059973903E-2,-1.052376026E-1
1.768324083E0,-9.165554389E-2,6.680674117E-2,-1.008732408E-1
1.778267083E0,-7.157028504E-2,6.758617502E-2,-1.107585436E-1
1.788210083E0,-5.089504212E-2,6.704896208E-2,-1.115286219E-1
1.798153083E0,-4.372701354E-2,6.681847215E-2,-9.807008564E-2
1.808096083E0,-3.849631369E-2,4.397979598E-2,-1.072683406E-1
1.818039083E0,-4.043671221E-2,2.085840695E-2,-8.813858986E-2
1.827982083E0,-3.640900388E-2,-2.055497300E-2,-9.673808992E-2
1.837924083E0,-4.684869580E-2,-6.021802548E-2,-9.807885647E-2
1.847867083E0,-5.262157872E-2,-8.478857383E-2,-1.182505810E-1
1.857810083E0,-4.136554241E-2,-1.153123917E-1,-1.401864105E-1
1.867753083E0,-4.020450465E-2,-1.210274603E-1,-1.606814861E-1
1.877696083E0,-4.136517696E-2,-1.251287704E-1,-1.698557675E-1
1.887639083E0,-3.667709872E-2,-1.337287456E-1,-1.483356750E-1
1.897582083E0,-4.196831726E-2,-1.019965640E-1,-1.375686121E-1
1.907525083E0,-5.459516019E-2,-6.422314893E-2,-1.474223399E-1
1.917468083E0,-5.375761963E-2,-1.344282188E-2,-9.416297615E-2
1.927410083E0,-6.128510579E-2,2.689996943E-2,-3.241228580E-2
1.937353083E0,-6.968974739E-2,6.776747525E-2,-8.660837352E-2
1.947296083E0,-6.654694207E-2,1.131480448E-1,-1.574707800E-1
1.957239083E0,-5.096623197E-2,1.311033458E-1,-1.541945851E-1
1.967182083E0,-2.379085869E-2,1.340691997E-1,-1.348613513E-1
1.977125083E0,-8.639992028E-3,9.635294113E-2,-1.040827775E-1
1.987068083E0,-6.669553444E-3,5.204043858E-2,-8.113245606E-2
1.997011083E0,-2.806239590E-2,3.405045636E-2,-5.687001944E-2
2.006954083E0,-5.057783067E-2,1.399373922E-2,-4.693735421E-2
2.016897083E0,-7.010380335E-2,-1.533063199E-2,-6.183489025E-2
2.026839083E0,-8.259287126E-2,-6.450255448E-2,-1.014649791E-1
2.036782083E0,-8.302169144E-2,-7.305112895E-2,-1.391064298E-1
2.046725083E0,-6.843902797E-2,-8.657241315E-2,-1.524725801E-1
2.056668083E0,-6.289659843E-2,-8.239826862E-2,-1.469995862E-1
2.066611083E0,-4.648931131E-2,-7.498348754E-2,-1.264688426E-1
2.076554083E0,-5.343536496E-2,-5.642519251E-2,-1.090885788E-1
2.086497083E0,-5.866555318E-2,-2.815916732E-2,-1.025829667E-1
2.096440083E0,-6.645419061E-2,7.895678021E-3,-1.013655764E-1
2.106383083E0,-7.414115958E-2,2.447609754E-2,-7.743935466E-2
2.116325083E0,-8.472549699E-2,2.338690745E-2,-7.252769351E-2
2.126268083E0,-8.345774755E-2,2.719170894E-2,-9.329992712E-2
2.136211083E0,-6.971679077E-2,2.011507966E-2,-1.336784595E-1
2.146154083E0,-5.875603884E-2,1.102039352E-2,-1.598734009E-1
2.156097083E0,-4.091377191E-2,-1.283125794E-2,-1.426632911E-1
2.166040083E0,-3.514147371E-2,-3.241334561E-2,-1.214174330E-1
2.175983083E0,-2.223213717E-2,-4.582422707E-2,-1.147153544E-1
